pom,season,pom_s1count,pom_s3count
Brendon McCullum,2012,0,2
Brendon McCullum,2013,0,2
Brendon McCullum,2014,0,0
Brendon McCullum,2015,2,2
Brendon McCullum,2016,0,2
Brendon McCullum,2017,0,2
Brendon McCullum,2018,0,0
Brendon McCullum,2019,0,0
Brendon McCullum,2020,0,0
Brendon McCullum,2021,0,0
Brendon McCullum,2022,0,0
Brendon McCullum,2023,0,0
Brendon McCullum,2024,0,0
Brett Lee,2008,0,0
Brett Lee,2009,1,1
Brett Lee,2010,0,1
Brett Lee,2011,0,1
Brett Lee,2012,1,1
Brett Lee,2013,0,1
Brett Lee,2014,0,1
Brett Lee,2015,0,0
Brett Lee,2016,0,0
Brett Lee,2017,0,0
Brett Lee,2018,0,0
Brett Lee,2019,0,0
Brett Lee,2020,0,0
Brett Lee,2021,0,0
Brett Lee,2022,0,0
Brett Lee,2023,0,0
Brett Lee,2024,0,0
Cameron Green,2008,0,0
Cameron Green,2009,0,0
Cameron Green,2010,0,0
Cameron Green,2011,0,0
Cameron Green,2012,0,0
Cameron Green,2013,0,0
Cameron Green,2014,0,0
Cameron Green,2015,0,0
Cameron Green,2016,0,0
Cameron Green,2017,0,0
Cameron Green,2018,0,0
Cameron Green,2019,0,0
Cameron Green,2020,0,0
Cameron Green,2021,0,0
Cameron Green,2022,0,0
Cameron Green,2023,2,2
Cameron Green,2024,1,3
Cameron White,2008,0,0
Cameron White,2009,0,0
Cameron White,2010,0,0
Cameron White,2011,0,0
Cameron White,2012,1,1
Cameron White,2013,0,1
Cameron White,2014,0,1
Cameron White,2015,0,0
Cameron White,2016,0,0
Cameron White,2017,0,0
Cameron White,2018,0,0
Cameron White,2019,0,0
Cameron White,2020,0,0
Cameron White,2021,0,0
Cameron White,2022,0,0
Cameron White,2023,0,0
Cameron White,2024,0,0
Carlos Brathwaite,2008,0,0
Carlos Brathwaite,2009,0,0
Carlos Brathwaite,2010,0,0
Carlos Brathwaite,2011,0,0
Carlos Brathwaite,2012,0,0
Carlos Brathwaite,2013,0,0
Carlos Brathwaite,2014,0,0
Carlos Brathwaite,2015,0,0
Carlos Brathwaite,2016,1,1
Carlos Brathwaite,2017,0,1
Carlos Brathwaite,2018,0,1
Carlos Brathwaite,2019,0,0
Carlos Brathwaite,2020,0,0
Carlos Brathwaite,2021,0,0
Carlos Brathwaite,2022,0,0
Carlos Brathwaite,2023,0,0
Carlos Brathwaite,2024,0,0
Chaminda Vaas,2008,0,0
Chaminda Vaas,2009,0,0
Chaminda Vaas,2010,1,1
Chaminda Vaas,2011,0,1
Chaminda Vaas,2012,0,1
Chaminda Vaas,2013,0,0
Chaminda Vaas,2014,0,0
Chaminda Vaas,2015,0,0
Chaminda Vaas,2016,0,0
Chaminda Vaas,2017,0,0
Chaminda Vaas,2018,0,0
Chaminda Vaas,2019,0,0
Chaminda Vaas,2020,0,0
Chaminda Vaas,2021,0,0
Chaminda Vaas,2022,0,0
Chaminda Vaas,2023,0,0
Chaminda Vaas,2024,0,0
Chris Gayle,2008,0,0
Chris Gayle,2009,1,1
Chris Gayle,2010,0,1
Chris Gayle,2011,6,7
Chris Gayle,2012,5,11
Chris Gayle,2013,3,14
Chris Gayle,2014,0,8
Chris Gayle,2015,2,5
Chris Gayle,2016,0,2
Chris Gayle,2017,1,3
Chris Gayle,2018,2,3
Chris Gayle,2019,1,4
Chris Gayle,2020,1,4
Chris Gayle,2021,0,2
Chris Gayle,2022,0,1
Chris Gayle,2023,0,0
Chris Gayle,2024,0,0
Chris Jordan,2008,0,0
